{'Timestamp': '2024-11-22T21:29:54.965567', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.72541, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:30:25.028576', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.710934, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:30:25.028942', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.715202, 'Memory (MB)': 215.515625}
{'Timestamp': '2024-11-22T21:30:25.029015', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.748851, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:30:55.068743', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.885454, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:30:55.069038', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.83491, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:30:55.069095', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.823556, 'Memory (MB)': 201.52734375}
{'Timestamp': '2024-11-22T21:31:25.106011', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.702375, 'Memory (MB)': 328.1640625}
{'Timestamp': '2024-11-22T21:31:25.106133', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.807213, 'Memory (MB)': 215.5234375}
{'Timestamp': '2024-11-22T21:31:25.106174', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.661864, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:31:55.163575', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.832213, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:31:55.163923', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.816875, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:31:55.164032', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.657758, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:32:25.225682', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.658815, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:32:25.226035', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.652949, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:32:25.226105', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.709408, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:32:55.281964', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.848668, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:32:55.282296', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.659443, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:32:55.282352', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.700609, 'Memory (MB)': 201.52734375}
{'Timestamp': '2024-11-22T21:33:25.340551', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.681673, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:33:25.340918', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.693181, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:33:25.340989', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.631035, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:33:55.397348', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.764695, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:33:55.397753', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.640153, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:33:55.397834', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.746123, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:34:25.456821', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.627041, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:34:25.457260', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.722081, 'Memory (MB)': 215.51953125}
